h1,h3,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
-1.202264e+02, -1.202264e+02, 6.400000e+02, 8.101200e-05, 7.791017e+01, 2.824690e-04, 1.452390e+02, 5.735586e-06, 1.352307e+02, 9.208534e-07, 4.113007e+02, 1.001825e-06, 2.315142e+04
-1.202264e+02, -7.244360e+01, 6.400000e+02, 2.266214e-04, 6.824578e+01, 8.941432e-04, 1.268177e+02, 1.482160e-05, 1.526320e+02, 1.280486e-06, 1.113091e+03, 7.006533e-05, 1.376737e+03
-1.202264e+02, -4.365158e+01, 6.400000e+02, 1.407989e-04, 8.930936e+01, 4.362638e-04, 1.650605e+02, 1.066910e-05, 1.308675e+02, 2.570545e-06, 4.038640e+02, 1.165220e-06, 7.237437e+02
-1.202264e+02, -2.630268e+01, 6.400000e+02, 1.002975e-04, 8.576051e+01, 3.215218e-04, 1.591257e+02, 7.431451e-06, 1.306668e+02, 1.574477e-06, 4.008468e+02, 8.486346e-07, 6.293634e+02
-1.202264e+02, -1.584893e+01, 6.400000e+02, 8.657345e-05, 8.475951e+01, 2.803241e-04, 1.574059e+02, 6.390348e-06, 1.305637e+02, 1.322439e-06, 4.022894e+02, 4.177345e-06, 1.319591e+04
-1.202264e+02, -9.549926e+00, 6.400000e+02, 8.026649e-05, 8.433113e+01, 2.610333e-04, 1.566669e+02, 5.918589e-06, 1.304530e+02, 1.216251e-06, 4.308647e+02, 1.465115e-05, 3.731159e+03
-1.202264e+02, -5.754399e+00, 6.400000e+02, 7.697770e-05, 8.411554e+01, 2.508914e-04, 1.562906e+02, 5.674326e-06, 1.303662e+02, 1.162699e-06, 4.396773e+02, 1.711529e-05, 3.005344e+03
-1.202264e+02, -3.467369e+00, 6.400000e+02, 7.514928e-05, 8.399790e+01, 2.452260e-04, 1.560879e+02, 5.538745e-06, 1.303154e+02, 1.133983e-06, 4.696823e+02, 2.314164e-05, 2.044988e+03
-1.202264e+02, -2.089296e+00, 6.400000e+02, 7.409648e-05, 8.393088e+01, 2.419527e-04, 1.559767e+02, 5.460605e-06, 1.302904e+02, 1.118624e-06, 5.356004e+02, 3.114760e-05, 1.320011e+03
-1.202264e+02, -1.258925e+00, 6.400000e+02, 7.347706e-05, 8.389170e+01, 2.400194e-04, 1.559179e+02, 5.414409e-06, 1.302845e+02, 1.111654e-06, 6.698803e+02, 3.705993e-05, 8.805459e+02
