h1,h3,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
0.000000e+00, -1.000000e+01, 6.400000e+02, 2.311668e-04, 1.386279e+02, 7.483354e-04, 1.351170e+02, 9.897063e-06, 2.795960e+02, 1.378333e-06, 1.002841e+03, 1.110515e-06, 4.918626e+04
0.000000e+00, -9.235785e+00, 6.400000e+02, 2.432948e-04, 1.386235e+02, 7.877180e-04, 1.350791e+02, 1.040731e-05, 2.798618e+02, 1.521600e-06, 8.320088e+03, 2.167052e-05, 1.138051e+03
0.000000e+00, -8.507961e+00, 6.400000e+02, 2.563955e-04, 1.386181e+02, 8.301625e-04, 1.350743e+02, 1.095652e-05, 2.801255e+02, 1.599450e-06, 9.109481e+03, 2.096598e-05, 1.134643e+03
0.000000e+00, -7.814795e+00, 6.400000e+02, 2.706674e-04, 1.386118e+02, 8.764081e-04, 1.350683e+02, 1.155433e-05, 2.803788e+02, 1.686476e-06, 1.009181e+04, 2.005824e-05, 1.130570e+03
0.000000e+00, -7.154638e+00, 6.400000e+02, 2.862874e-04, 1.386045e+02, 9.270300e-04, 1.350609e+02, 1.220803e-05, 2.806231e+02, 1.784020e-06, 1.125914e+04, 1.905485e-05, 1.126727e+03
0.000000e+00, -6.525916e+00, 6.400000e+02, 3.034730e-04, 1.385960e+02, 9.827349e-04, 1.350521e+02, 1.292656e-05, 2.808583e+02, 1.894603e-06, 1.265639e+04, 1.796086e-05, 1.123182e+03
0.000000e+00, -5.927133e+00, 6.400000e+02, 3.224359e-04, 1.385858e+02, 1.044112e-03, 1.350676e+02, 1.371592e-05, 2.811161e+02, 1.869847e-06, 4.365054e+03, 4.887728e-05, 1.364766e+03
0.000000e+00, -5.356864e+00, 6.400000e+02, 3.436246e-04, 1.385743e+02, 1.112806e-03, 1.350567e+02, 1.459939e-05, 2.813329e+02, 1.982122e-06, 5.062800e+03, 4.656048e-05, 1.319765e+03
0.000000e+00, -4.813751e+00, 6.400000e+02, 3.674229e-04, 1.385608e+02, 1.189978e-03, 1.350435e+02, 1.559029e-05, 2.815404e+02, 2.109831e-06, 5.961847e+03, 4.362750e-05, 1.280156e+03
0.000000e+00, -4.296500e+00, 6.400000e+02, 3.943992e-04, 1.385448e+02, 1.277479e-03, 1.350274e+02, 1.671173e-05, 2.817385e+02, 2.257786e-06, 7.168576e+03, 3.999537e-05, 1.244849e+03
0.000000e+00, -3.803880e+00, 6.400000e+02, 4.253107e-04, 1.385257e+02, 1.377774e-03, 1.350078e+02, 1.799445e-05, 2.819270e+02, 2.433030e-06, 8.824106e+03, 3.575137e-05, 1.214053e+03
