h1,h3,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
-1.000000e+01, -1.000000e+01, 6.400000e+02, 3.841663e-04, 1.361616e+02, 1.263146e-03, 1.326417e+02, 1.582790e-05, 2.898931e+02, 1.921681e-06, 1.113105e+03, 2.799374e-06, 7.315248e+04
-1.000000e+01, -9.478317e+00, 6.400000e+02, 4.146775e-04, 1.358607e+02, 1.366252e-03, 1.323087e+02, 1.700200e-05, 2.911465e+02, 2.115514e-06, 8.051999e+03, 3.773341e-05, 1.290417e+03
-1.000000e+01, -8.981476e+00, 6.400000e+02, 4.500063e-04, 1.354992e+02, 1.486128e-03, 1.319389e+02, 1.834529e-05, 2.926891e+02, 2.260467e-06, 9.968844e+03, 3.366246e-05, 1.270732e+03
-1.000000e+01, -8.508294e+00, 6.400000e+02, 4.916209e-04, 1.350583e+02, 1.628229e-03, 1.314862e+02, 1.990548e-05, 2.945613e+02, 2.433166e-06, 1.271941e+04, 2.910536e-05, 1.256879e+03
-1.000000e+01, -8.057644e+00, 6.400000e+02, 5.415228e-04, 1.345101e+02, 1.799960e-03, 1.309213e+02, 2.174398e-05, 2.969038e+02, 2.645855e-06, 1.672401e+04, 2.434495e-05, 1.250413e+03
-1.000000e+01, -7.628454e+00, 6.400000e+02, 6.026838e-04, 1.338126e+02, 2.012506e-03, 1.301992e+02, 2.394757e-05, 2.999414e+02, 2.922379e-06, 2.272882e+04, 1.957100e-05, 1.252725e+03
-1.000000e+01, -7.219702e+00, 6.400000e+02, 6.795521e-04, 1.329015e+02, 2.282792e-03, 1.292782e+02, 2.663678e-05, 3.039906e+02, 2.886883e-06, 1.127711e+04, 4.514239e-05, 1.366635e+03
-1.000000e+01, -6.830414e+00, 6.400000e+02, 7.797903e-04, 1.316720e+02, 2.641344e-03, 1.279954e+02, 3.000164e-05, 3.098431e+02, 3.191437e-06, 1.868817e+04, 3.151597e-05, 1.353911e+03
-1.000000e+01, -6.459663e+00, 6.400000e+02, 9.157426e-04, 1.299703e+02, 3.138037e-03, 1.262292e+02, 3.428234e-05, 3.188002e+02, 3.248997e-06, 1.110980e+04, 6.131547e-05, 1.511116e+03
-1.000000e+01, -6.106567e+00, 6.400000e+02, 1.110703e-03, 1.277424e+02, 3.865658e-03, 1.239076e+02, 3.960287e-05, 3.346175e+02, 3.407320e-06, 5.182055e+03, 1.342204e-04, 1.980971e+03
